,Mes,Casos,Codigo,Descricao
87,2021-04-30,223,5,10-14
88,2021-05-31,185,5,10-14
89,2021-06-30,93,5,10-14
90,2021-07-31,48,5,10-14
91,2021-08-31,28,5,10-14
92,2021-09-30,37,5,10-14
93,2021-10-31,22,5,10-14
94,2021-11-30,52,5,10-14
95,2021-12-31,101,5,10-14
96,2022-01-31,525,5,10-14
97,2022-02-28,2345,5,10-14
98,2022-03-31,6074,5,10-14
99,2022-04-30,8596,5,10-14
100,2022-05-31,9513,5,10-14
101,2022-06-30,6778,5,10-14
102,2022-07-31,1648,5,10-14
103,2022-08-31,224,5,10-14
104,2022-09-30,73,5,10-14
105,2022-10-31,79,5,10-14
106,2022-11-30,77,5,10-14
107,2022-12-31,116,5,10-14
0,2014-01-31,468,6,15-19
1,2014-02-28,851,6,15-19
2,2014-03-31,1209,6,15-19
3,2014-04-30,1732,6,15-19
4,2014-05-31,1028,6,15-19
5,2014-06-30,342,6,15-19
6,2014-07-31,128,6,15-19
7,2014-08-31,65,6,15-19
8,2014-09-30,87,6,15-19
9,2014-10-31,64,6,15-19
10,2014-11-30,103,6,15-19
11,2014-12-31,139,6,15-19
12,2015-01-31,521,6,15-19
13,2015-02-28,1004,6,15-19
14,2015-03-31,3028,6,15-19
15,2015-04-30,6857,6,15-19
16,2015-05-31,6008,6,15-19
17,2015-06-30,1620,6,15-19
18,2015-07-31,374,6,15-19
19,2015-08-31,113,6,15-19
20,2015-09-30,110,6,15-19
21,2015-10-31,145,6,15-19
22,2015-11-30,419,6,15-19
23,2015-12-31,1255,6,15-19
24,2016-01-31,5766,6,15-19
25,2016-02-29,14503,6,15-19
26,2016-03-31,16856,6,15-19
27,2016-04-30,12542,6,15-19
28,2016-05-31,3743,6,15-19
29,2016-06-30,465,6,15-19
30,2016-07-31,102,6,15-19
31,2016-08-31,69,6,15-19
32,2016-09-30,70,6,15-19
33,2016-10-31,75,6,15-19
34,2016-11-30,145,6,15-19
35,2016-12-31,397,6,15-19
36,2017-01-31,508,6,15-19
37,2017-02-28,482,6,15-19
