DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Minas Gerais
Casos Prováveis por Macrorreg.Saúde/Munic.de notif e Mês notificação
Período:2017
"Macrorreg.Saúde/Munic.de notif";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
".....  CALDAS";-;-;1;-;-;-;-;-;-;-;-;-;1
".....  CAMBUI";-;-;2;-;-;-;-;-;-;-;-;-;2
".....  PIMENTA";-;-;-;1;-;1;-;-;-;2;-;1;5
".....  PARAISOPOLIS";-;-;-;-;-;-;-;-;-;-;-;1;1
".....  PASSA QUATRO";-;-;-;-;-;-;-;-;-;-;-;1;1
".....  PASSOS";24;31;24;17;7;6;-;-;5;8;7;4;133
".....  PIUMHI";-;-;1;-;-;-;-;-;-;-;-;-;1
".....  CLARAVAL";3;-;-;-;-;-;-;-;-;-;-;-;3
".....  IBIRACI";-;-;1;3;2;-;-;-;-;-;-;2;8
".....  CAMBUQUIRA";4;-;1;4;-;-;-;-;-;-;-;-;9
".....  ARCEBURGO";-;-;-;1;-;-;-;-;-;1;-;-;2
".....  SAO ROQUE DE MINAS";-;1;-;-;-;-;-;-;-;-;-;-;1
".....  ESPIRITO SANTO DO DOURADO";1;-;-;-;-;-;-;-;-;-;-;-;1
".....  ITAMONTE";1;3;-;-;-;-;-;-;-;-;-;-;4
".....  DORESOPOLIS";-;-;-;-;-;-;-;-;1;-;-;-;1
".....  MONTE BELO";-;-;-;-;-;-;-;-;-;-;-;7;7
".....  CAXAMBU";2;-;-;-;-;-;1;2;-;-;1;1;7
".....  ELOI MENDES";-;3;14;21;10;-;-;-;-;-;-;-;48
".....  VARGINHA";99;55;96;111;90;22;10;7;7;4;6;8;515
".....  SAO GONCALO DO SAPUCAI";-;-;3;3;1;-;-;-;-;-;1;3;11
".....  SERRANIA";-;2;1;1;-;-;-;-;1;1;-;2;8
".....  SOLEDADE DE MINAS";-;1;1;-;-;-;-;-;-;-;-;-;2
".....  ITAU DE MINAS";2;2;2;1;1;-;-;-;-;-;1;2;11
".....  LAMBARI";-;1;-;1;1;-;-;-;-;-;-;-;3
".....  CAPETINGA";-;2;-;-;-;-;-;-;-;-;-;-;2
".....  CACHOEIRA DE MINAS";1;1;-;-;-;-;-;-;-;-;-;-;2
".....  JURUAIA";-;-;-;1;-;-;-;-;-;-;-;-;1
".....  JESUANIA";-;1;-;-;-;-;-;-;-;-;-;-;1
".....  FAMA";-;-;3;-;1;-;-;-;-;-;-;-;4
".....  BOM JESUS DA PENHA";-;-;-;-;-;-;-;-;-;1;1;-;2
".....  GUARANESIA";1;3;1;4;1;1;-;-;-;-;-;-;11
".....  SAO THOME DAS LETRAS";-;-;4;-;-;-;-;-;-;-;-;-;4
".....  CARMO DE MINAS";-;-;1;-;-;-;-;-;-;-;-;-;1
".....  CARMO DO RIO CLARO";-;1;-;-;-;-;-;-;-;-;-;-;1
".....  LUMINARIAS";-;-;11;26;10;-;-;-;-;-;-;-;47
".....  DELFINOPOLIS";1;-;1;-;-;-;-;-;-;-;-;-;2
".....  GUAXUPE";1;2;3;2;-;2;-;-;-;-;4;2;16
".....  TOLEDO";-;1;1;-;-;-;-;-;-;-;-;-;2
".....  BANDEIRA DO SUL";-;-;-;-;1;-;-;-;-;-;-;-;1
".....  LAVRAS";4;3;11;16;8;3;1;-;-;-;-;-;46
".....  SANTA RITA DO SAPUCAI";1;-;1;-;-;-;-;-;-;-;-;-;2
".....  SAO SEBASTIAO DO PARAISO";3;1;3;1;3;2;-;1;3;-;2;2;21
".....  BRAZOPOLIS";-;-;-;-;-;-;-;-;-;-;2;2;4
".....  SAO PEDRO DA UNIAO";-;-;-;-;-;-;-;-;-;-;-;1;1
".....  SAO JOSE DA BARRA";5;4;-;-;1;-;-;-;-;-;1;1;12
".....  SAO BENTO ABADE";-;-;13;-;1;-;-;-;-;-;-;-;14
"3102 CENTRO SUL";25;25;18;11;5;3;-;-;6;9;10;9;121
".....  CONSELHEIRO LAFAIETE";9;5;4;4;1;1;-;-;1;1;-;-;26
".....  LAGOA DOURADA";-;-;-;-;-;-;-;-;-;-;1;-;1
".....  LAMIM";-;1;-;-;-;-;-;-;-;-;-;-;1
".....  IBERTIOGA";2;-;-;-;-;-;-;-;-;-;-;-;2
".....  BARROSO";-;-;1;-;1;-;-;-;-;-;-;-;2
".....  BARBACENA";3;5;4;1;-;-;-;-;-;1;3;-;17
".....  SENHORA DOS REMEDIOS";-;-;-;-;-;1;-;-;-;-;-;-;1
".....  SAO TIAGO";-;-;2;-;-;-;-;-;-;-;1;-;3
".....  SAO JOAO DEL REI";8;5;2;5;1;-;-;-;1;5;4;3;34
".....  CARANDAI";-;2;-;-;-;-;-;-;-;1;-;-;3
".....  DORES DE CAMPOS";-;-;-;-;-;-;-;-;2;-;-;-;2
".....  CONGONHAS";3;4;1;1;1;-;-;-;-;1;-;2;13
".....  BOM SUCESSO";-;-;-;-;1;-;-;-;-;-;-;-;1
".....  SAO VICENTE DE MINAS";-;-;-;-;-;-;-;-;-;-;-;1;1
".....  OURO BRANCO";-;-;2;-;-;-;-;-;-;-;-;-;2
".....  PRADOS";-;-;-;-;-;-;-;-;-;-;-;1;1
".....  PIRANGA";-;1;-;-;-;1;-;-;1;-;-;-;3
".....  ENTRE RIOS DE MINAS";-;-;-;-;-;-;-;-;1;-;-;1;2
".....  SANTA CRUZ DE MINAS";-;1;-;-;-;-;-;-;-;-;-;1;2
".....  CORONEL XAVIER CHAVES";-;1;2;-;-;-;-;-;-;-;1;-;4
"3103 CENTRO";784;873;783;451;371;196;90;109;104;184;233;251;4429
".....  RIO ACIMA";-;-;-;2;-;-;-;-;-;-;-;1;3
".....  ITABIRA";20;9;11;2;4;4;2;3;7;11;8;5;86
".....  SAO GONCALO DO RIO ABAIXO";1;1;-;2;-;-;-;-;-;-;1;-;5
".....  IGARAPE";2;6;15;9;3;-;-;1;-;-;2;2;40
".....  FUNILANDIA";-;-;-;-;-;-;-;-;-;-;1;-;1
".....  INIMUTABA";1;-;-;1;-;-;-;-;1;-;-;-;3
".....  JOAO MONLEVADE";4;7;1;2;-;1;-;-;-;-;-;-;15
".....  LAGOA SANTA";2;-;1;-;-;-;-;-;-;2;4;-;9
".....  JABOTICATUBAS";-;-;-;-;-;-;1;-;-;1;-;-;2
".....  SARZEDO";-;4;4;5;2;-;-;-;1;2;5;3;26
".....  MONJOLOS";9;2;1;1;1;-;-;1;-;-;1;-;16
".....  MOEDA";1;-;-;-;-;-;-;-;-;-;1;-;2
".....  BALDIM";-;-;-;-;-;-;-;-;-;-;-;1;1
".....  NOVA LIMA";38;42;33;32;21;9;8;4;5;6;12;8;218
".....  CAETE";1;-;-;-;1;-;-;1;-;-;-;-;3
".....  PAPAGAIOS";2;2;-;-;-;-;-;-;-;-;-;-;4
".....  ABAETE";2;-;-;-;-;-;-;1;-;-;-;-;3
".....  PARAOPEBA";2;4;6;6;8;-;1;-;-;-;2;14;43
".....  BRUMADINHO";6;2;9;7;4;-;1;-;-;-;-;1;30
".....  PEDRO LEOPOLDO";-;-;-;2;-;-;-;-;-;1;2;-;5
".....  RIBEIRAO DAS NEVES";7;20;26;12;5;2;2;2;1;-;3;3;83
".....  CRUCILANDIA";-;2;-;-;-;-;-;-;-;-;-;-;2
".....  PRESIDENTE JUSCELINO";1;-;1;-;-;-;-;-;-;-;-;-;2
".....  SANTA LUZIA";7;1;-;2;1;-;-;-;-;-;3;5;19
".....  RIO MANSO";-;1;-;-;-;-;-;-;-;-;-;3;4
".....  CONTAGEM";59;54;118;100;62;25;17;14;15;15;19;28;526
".....  SANTANA DE PIRAPAMA";-;-;1;1;-;-;-;-;-;-;-;-;2
".....  OURO PRETO";1;1;-;-;-;-;-;-;-;1;-;1;4
".....  MARIANA";1;1;-;1;1;1;1;-;-;-;-;1;7
".....  BUENOPOLIS";1;-;1;-;-;-;-;-;-;-;-;-;2
".....  CATAS ALTAS";1;-;-;-;-;-;-;1;-;-;-;-;2
".....  CURVELO";22;46;25;3;2;1;-;1;-;5;-;2;107
".....  NOVA UNIAO";2;-;2;-;-;-;-;-;-;-;-;-;4
".....  JUATUBA";5;14;19;5;3;1;-;-;-;1;-;1;49
".....  MORADA NOVA DE MINAS";5;4;3;-;-;-;1;1;-;-;2;-;16
".....  MATEUS LEME";8;4;4;-;1;1;1;-;-;-;-;1;20
".....  INHAUMA";-;-;-;-;-;3;-;-;-;-;-;-;3
".....  BARAO DE COCAIS";2;-;1;-;-;-;-;-;-;-;-;1;4
".....  MARAVILHAS";1;-;-;-;-;-;-;-;-;-;-;-;1
".....  SETE LAGOAS";9;4;7;6;4;-;1;5;2;5;3;17;63
".....  TAQUARACU DE MINAS";-;-;3;-;-;-;-;-;-;-;-;-;3
".....  QUARTEL GERAL";1;-;-;-;-;1;-;-;-;-;-;1;3
".....  RIO VERMELHO";-;-;-;1;-;-;-;-;-;-;-;-;1
".....  SAO JOSE DA LAPA";-;-;-;-;-;-;1;-;-;-;-;-;1
".....  CAPIM BRANCO";1;-;1;-;-;-;-;-;-;1;-;-;3
".....  CACHOEIRA DA PRATA";-;-;-;1;-;-;-;-;-;-;-;-;1
".....  ITABIRITO";3;1;-;-;-;-;-;-;2;-;-;2;8
".....  IBIRITE";6;7;14;3;1;1;1;-;-;1;2;-;36
".....  FLORESTAL";7;4;3;1;1;-;-;-;-;-;-;-;16
".....  DORES DE GUANHAES";-;-;1;1;-;-;-;-;-;-;-;-;2
".....  BELO HORIZONTE";293;243;263;139;121;90;31;51;49;92;109;93;1574
".....  MATOZINHOS";-;-;-;1;-;-;-;-;-;-;1;-;2
".....  NOVA ERA";1;-;-;-;1;-;1;-;-;1;-;-;4
".....  VESPASIANO";1;3;-;-;-;-;-;-;-;-;-;-;4
".....  VIRGINOPOLIS";1;-;-;-;-;-;-;-;-;-;-;-;1
".....  TRES MARIAS";7;3;3;2;2;-;1;5;-;-;-;-;23
".....  MORRO DA GARCA";-;1;-;-;-;-;-;-;-;-;-;-;1
".....  CONFINS";2;2;1;-;1;-;-;-;-;-;-;-;6
".....  CORINTO";4;8;5;3;3;-;-;-;4;4;4;9;44
".....  POMPEU";7;7;5;5;3;2;1;-;4;3;9;13;59
".....  PEQUI";-;3;-;-;1;-;-;-;-;-;-;-;4
".....  FELIXLANDIA";-;-;1;-;-;-;-;-;-;1;5;6;13
".....  SANTA BARBARA";1;-;1;-;-;2;1;-;1;-;-;1;7
".....  GUANHAES";1;2;-;-;-;1;-;-;-;-;-;-;4
".....  BIQUINHAS";-;2;-;-;1;-;-;-;-;-;-;-;3
".....  MARIO CAMPOS";1;3;-;1;-;-;-;-;-;1;2;-;8
".....  SAO DOMINGOS DO PRATA";-;-;-;-;-;1;-;-;-;-;1;-;2
".....  SANTANA DO RIACHO";3;2;2;-;-;-;-;-;-;2;-;-;9
".....  SABARA";22;39;23;7;12;6;9;8;6;10;17;10;169
".....  SABINOPOLIS";2;-;-;-;-;-;-;-;-;-;-;-;2
".....  RAPOSOS";1;1;-;-;-;-;-;-;-;-;4;1;7
".....  CAETANOPOLIS";11;14;20;10;1;14;-;1;2;4;1;8;86
".....  SAO JOAQUIM DE BICAS";6;4;1;1;-;-;-;1;-;1;1;2;17
".....  BONFIM";3;10;2;2;-;-;-;-;-;-;-;-;17
".....  BETIM";144;269;137;70;97;28;8;8;3;11;4;5;784
".....  PAINEIRAS";-;-;-;-;-;2;-;-;-;-;-;1;3
".....  PRUDENTE DE MORAIS";1;-;-;-;2;-;-;-;-;-;1;-;4
".....  SANTO HIPOLITO";-;1;1;-;-;-;-;-;-;-;-;-;2
".....  FORTUNA DE MINAS";1;-;-;-;-;-;-;-;-;-;-;-;1
".....  ESMERALDAS";30;13;7;2;1;-;-;-;1;2;3;1;60
"3104 JEQUITINHONHA";159;138;251;140;152;46;11;20;15;11;10;10;963
".....  DIAMANTINA";72;22;35;22;14;6;2;9;10;4;4;3;203
".....  CAPELINHA";5;2;3;1;-;-;-;-;-;-;-;1;12
".....  DATAS";3;-;-;-;-;-;-;-;-;-;-;-;3
".....  ITAMARANDIBA";6;6;2;-;-;-;-;-;-;-;-;-;14
".....  LEME DO PRADO";-;-;-;6;12;9;2;-;-;-;-;-;29
".....  SANTO ANTONIO DO ITAMBE";-;-;-;-;-;-;-;-;-;1;-;-;1
".....  TURMALINA";35;87;195;101;86;13;2;5;1;-;2;-;527
".....  COUTO DE MAGALHAES DE MINAS";-;-;-;-;26;6;-;-;-;-;-;-;32
".....  GOUVEIA";-;1;-;-;-;-;-;-;-;-;-;-;1
".....  COLUNA";-;-;-;-;-;-;-;-;-;-;1;-;1
".....  SERRO";-;1;-;-;-;-;-;-;-;-;-;-;1
".....  MINAS NOVAS";-;-;-;-;-;-;1;-;-;-;-;-;1
".....  ARACUAI";37;17;16;10;14;12;4;6;4;6;3;6;135
".....  PRESIDENTE KUBITSCHEK";1;-;-;-;-;-;-;-;-;-;-;-;1
".....  CONCEICAO DO MATO DENTRO";-;2;-;-;-;-;-;-;-;-;-;-;2
"3105 OESTE";114;67;54;48;42;21;10;27;39;74;43;49;588
".....  CARMO DO CAJURU";6;1;2;3;1;-;-;1;-;-;1;-;15
".....  ARAUJOS";-;1;-;4;-;-;-;-;-;-;-;1;6
".....  ARCOS";-;1;-;-;-;1;-;-;-;-;-;-;2
".....  CARMO DA MATA";-;-;1;1;-;-;-;-;-;2;-;-;4
".....  CANA VERDE";1;1;-;-;-;-;-;-;-;-;-;-;2
".....  AGUANIL";-;-;-;-;-;-;1;1;-;-;-;-;2
".....  MARTINHO CAMPOS";2;6;10;4;2;3;-;8;-;2;2;3;42
".....  SAO SEBASTIAO DO OESTE";-;-;1;-;-;-;-;-;-;-;1;-;2
".....  SAO GONCALO DO PARA";-;1;2;4;6;4;-;3;2;4;8;7;41
".....  FORMIGA";2;1;-;2;1;1;-;-;1;1;2;2;13
".....  PAINS";-;-;1;1;1;-;2;-;-;-;-;-;5
".....  ITATIAIUCU";-;-;-;-;1;-;-;-;-;-;-;-;1
