ANO;MES;MACRORREGIAO;PRECIPITACAO;PRESSAO_ATM;TEMPERATURA;UMIDADE_RELATIVA
2016;2;3109;0.0716235632183908;921.6332614942528;25.140696839080466;64.0
2016;2;3110;0.1086206896551724;929.4802442528736;23.485129310344828;76.0
2016;2;3111;0.0;992.6987068965518;28.82356321839081;56.0
2016;2;3112;0.2654214559386973;921.2321360153256;24.1911877394636;74.0
2016;2;3113;0.1701149425287356;924.52811302682;24.476197318007664;75.0
2016;2;3114;0.023419540229885;952.5497844827588;26.44073275862069;68.0
2016;3;3101;0.3214270202375921;913.8836155033572;22.060747845940742;81.0
2016;3;3102;0.2563172043010753;900.1538978494624;21.3945564516129;79.0
2016;3;3103;0.1625520901292848;911.9741438841714;22.845579439391653;75.0
2016;3;3104;0.0932795698924731;890.4926747311829;21.35793010752688;75.0
2016;3;3105;0.1874123222748815;925.1788900473932;23.7466691943128;77.0
2016;3;3106;0.0679076339363025;987.044548727546;27.0930898136778;67.0
2016;3;3107;0.1680446688774997;946.98222854487;23.61150198472515;79.0
2016;3;3108;0.0636898019488514;948.9395192657216;25.938149411944043;64.0
2016;3;3109;0.163508064516129;922.3690860215054;24.228494623655912;70.0
2016;3;3110;0.1263440860215053;937.1060483870968;22.62217741935484;82.0
2016;3;3111;0.0220014408579782;969.357116813215;26.18654549189038;66.0
2016;3;3112;0.3268817204301075;921.9094086021504;23.74072580645161;75.0
2016;3;3113;0.1866682693428607;932.2790686494848;24.55435198488248;75.0
2016;3;3114;0.1689516129032258;953.6819220430108;25.2994623655914;73.0
2016;4;3101;0.0305578237706206;911.547739263896;21.150043347161247;71.0
2016;4;3102;0.0544444444444444;900.04375;20.900277777777777;73.0
2016;4;3103;0.0583901906413486;911.8431565867198;22.48764999411601;67.0
2016;4;3104;0.0623611111111111;890.321875;20.84854166666667;70.0
2016;4;3105;0.0363201320132013;925.3460952970296;23.41636138613861;64.0
2016;4;3106;0.0515972222222222;987.0445138888888;26.29385416666667;66.0
2016;4;3107;0.0721670626838651;947.136940201403;23.506628054989815;73.0
2016;4;3108;0.0062714418173388;948.7577394474248;25.400742929995367;59.0
2016;4;3109;0.0216666666666666;922.0825333538588;24.538019636015324;57.0
2016;4;3110;0.0644444444444444;930.424375;21.79673611111111;76.0
2016;4;3111;0.0104166666666666;969.3380555555556;25.19239583333333;67.0
2016;4;3112;0.01;921.9645370370372;23.660879629629637;61.0
2016;4;3113;0.0097916666666666;932.1619444444444;23.891284722222224;63.0
2016;4;3114;0.0809722222222222;953.5567361111111;25.037569444444443;67.0
2016;5;3101;0.0713207593909292;912.9528391877916;17.391601501967216;76.0
2016;5;3102;0.0230070261508849;901.605875085023;17.606301737362337;79.0
2016;5;3103;0.0230965438803106;913.4924456620798;20.03213498969816;72.0
2016;5;3104;0.0579301075268817;891.8616935483872;18.57768817204301;77.0
2016;5;3105;0.0102150537634408;927.287432795699;20.58662634408602;71.0
2016;5;3106;0.0325427104589067;989.36764447568;23.54282424492395;71.0
2016;5;3107;0.0227226036654592;949.0728092972606;19.82744576340565;79.0
2016;5;3108;0.0022657450076804;950.7257877395874;23.422575508526812;60.0
2016;5;3109;0.000268817204301;923.9585607726827;22.99767062116769;59.0
2016;5;3110;0.0116103489159891;932.3061119579944;18.92658367208672;80.0
2016;5;3111;0.0269489247311827;971.4417002688172;23.06663306451613;68.0
2016;5;3112;0.0156810035842293;923.8602598566308;20.903360215053763;67.0
2016;5;3113;0.0551747311827957;934.2339717741936;21.40604838709677;68.0
2016;5;3114;0.0119623655913978;955.6657930107526;21.87305107526882;75.0
2016;6;3101;0.0934019987058039;915.3806716330224;15.541037896590812;76.0
2016;6;3102;0.0734722222222222;902.9924305555556;15.4025;80.0
2016;6;3103;0.036258230872926;918.1676276074168;18.18471655150905;71.0
2016;6;3104;0.0198838559814169;892.7017753097173;17.511986788617886;73.0
2016;6;3105;0.0919444444444444;928.8841666666666;18.245416666666664;72.0
2016;6;3106;0.0286111111111111;991.3747222222222;21.739375;71.0
2016;6;3107;0.0708333333333333;951.072986111111;17.359375;82.0
2016;6;3108;0.0045138888888888;954.3843548779574;21.855663104256852;58.0
2016;6;3109;0.0005555555555555;926.1002869152046;21.730398391812862;53.0
2016;6;3110;0.0723611111111111;933.979236111111;16.585277777777776;83.0
2016;6;3111;0.0383333333333333;973.2411458333332;21.370486111111116;71.0
2016;6;3112;0.1053664799253034;925.334415655151;18.96244358854653;67.0
2016;6;3113;0.0581481481481481;944.2608796296296;20.133750000000003;65.0
2016;6;3114;0.0323611111111111;957.4527777777778;19.981041666666663;76.0
2016;7;3101;0.0012258840883506;914.305888586952;16.732623687961887;67.0
2016;7;3102;0.0013440860215053;902.5316308243728;16.723028673835127;70.0
2016;7;3103;0.0013955577866049;918.2057381045292;18.435958941679534;65.0
2016;7;3104;0.0051075268817204;870.9354838709677;16.675403225806452;68.0
2016;7;3105;0.0001344086021505;928.2764784946236;19.509744623655912;59.0
2016;7;3106;0.0198924731182795;991.466129032258;21.616599462365592;70.0
2016;7;3107;0.0045698924731182;950.4665536946987;18.65818164879376;73.0
2016;7;3108;0.0014448924731182;953.6988889148932;22.025544539211936;55.0
2016;7;3109;0.0001344086021505;925.093118120046;22.821974264754587;45.0
2016;7;3110;0.0013458950201884;933.6646795720632;17.04070174676913;78.0
2016;7;3111;0.0461021505376344;973.4663978494624;20.73091397849462;74.0
2016;7;3112;0.0;924.6894703441844;20.164675087150783;53.0
2016;7;3113;6.720430107526882e-05;934.9942029497436;20.52878264208909;52.0
2016;7;3114;0.0014784946236559;957.2239919354838;20.76659946236559;67.0
2016;8;3101;0.0490836524901779;913.2378105134644;17.93607055552525;65.0
2016;8;3102;0.0140783513509602;901.4317191638085;17.946944118824682;65.0
2016;8;3103;0.0070260237152417;917.170763038882;19.619717296524115;61.0
2016;8;3104;0.0034946236559139;870.1235215053764;17.558602150537634;65.0
2016;8;3105;0.0143817204301075;927.0791666666668;20.971505376344084;54.0
2016;8;3106;0.0081995578807218;990.444210118815;22.72743916337429;65.0
2016;8;3107;0.0185483870967741;949.2516801075268;19.70047043010753;68.0
2016;8;3108;0.0021561004017874;951.38292567953;24.02555651819485;50.0
2016;8;3109;0.0045902100525131;924.6698523068268;23.329053044511127;43.0
2016;8;3110;0.0075268817204301;932.6520833333334;18.297647849462365;70.0
2016;8;3111;0.0147849462365591;972.5847782258064;21.841901881720432;69.0
2016;8;3112;0.0390192573939806;923.4076746769128;21.42085944321433;51.0
2016;8;3113;0.0329545180863835;933.7116565173004;21.87525659412911;52.0
2016;8;3114;0.0004035876061882;956.1872817443088;22.0560802254736;59.0
2016;9;3101;0.0183136710409708;911.7713999189428;20.63428163119863;60.0
2016;9;3102;0.0840277777777777;900.6386805555555;19.291944444444447;68.0
2016;9;3103;0.0953344844109517;915.3851599924958;22.15853790797462;59.0
2016;9;3104;0.0276201201201201;890.5901914414413;20.35521771771772;63.0
2016;9;3105;0.0554166666666666;925.7746527777778;23.482013888888893;52.0
2016;9;3106;0.0448611111111111;989.4449652777778;23.94131944444445;63.0
2016;9;3107;0.1110912698412698;948.5151488095236;21.04265873015873;71.0
2016;9;3108;0.0215733660931954;950.9794772124194;25.84813734136401;46.0
2016;9;3109;0.0240421075837742;922.3635314704584;26.3752628968254;40.0
2016;9;3110;0.06375;931.736388888889;20.22625;70.0
2016;9;3111;0.0326388888888888;971.5568402777776;23.243194444444445;64.0
2016;9;3112;0.008897903466749;922.316799245351;23.569797107608306;48.0
2016;9;3113;0.0076388888888888;932.6616319444444;24.40125;46.0
2016;9;3114;0.1155555555555555;955.1771527777778;23.44020833333333;61.0
2016;10;3101;0.2114950746060438;909.7956528829934;21.21608208926564;71.0
2016;10;3102;0.1102539472351264;898.5940954282985;19.90032281581499;75.0
2016;10;3103;0.1200041543277122;913.331903197534;22.95312564606016;65.0
2016;10;3104;0.066844310337342;889.1302713317124;21.051993154748985;68.0
2016;10;3105;0.1487903225806451;923.6625;23.627352150537632;64.0
2016;10;3106;0.0558749041230698;986.836612640921;24.648421874773877;67.0
2016;10;3107;0.1132695261727519;946.153846892355;21.24494859978731;78.0
2016;10;3108;0.0755154003672837;948.7607984431464;26.99926747670605;52.0
2016;10;3109;0.0778471545914855;920.6253251058016;26.01464623460736;51.0
2016;10;3110;0.125237340627216;929.4607482561252;20.92200312233173;75.0
2016;10;3111;0.0967945947626455;969.019598724889;24.150251895265004;70.0
2016;10;3112;0.16084229390681;920.1034050179212;23.829256272401437;62.0
2016;10;3113;0.1636537190600925;938.7057203553356;25.278746496572552;59.0
2016;10;3114;0.0663978494623655;952.759005376344;24.006922043010757;66.0
2016;11;3101;0.2630459342023588;908.9247397579144;20.891842023587834;77.0
2016;11;3102;0.5170833333333333;897.5663194444444;19.748472222222222;80.0
2016;11;3103;0.4294761242466388;912.609696806632;21.684885422875688;76.0
2016;11;3104;0.3205555555555556;888.2149999999999;20.121041666666667;78.0
